牌号,对应标准,归类,标签,说明,美国UNS,ASTM  型号或牌号,性能,中国ISC,德国W-Nr.,欧标钢号,密度,旧牌号,其他名称,ISO数字牌号,SAE  钢号,AISI  美国钢铁协会
C70D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.0615,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,M系列碳素钢,,G10230,M1023,,,,,,,,,,
SGD A,JIS G 3108-2004 轧制碳素钢冷加工棒材,碳钢,,,,,,,,,,,,,,
36Mn6,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
46S20,ISO 683-9-1988 热处理钢、合金钢和易切削钢.第9部分:锻造易切削钢,碳钢,直接淬火型易切削钢  硫系易切削钢,,,,易切削性,,,,,,,10,,
SWRM15,JIS G 3505-2017 低碳钢盘条,碳钢,,,,,,,,,,,,,,
T9,YB /T 5058-2005 弹簧钢、工具钢冷轧钢带,碳钢,,,,,,,,,,,,,,
C68D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.0613,,,,,,
A620 Type A,ASTM A620/A620M-1997 冷轧碳素拉制钢板,碳钢,,,,,,,,,,,,,,
11SMnPb37,DIN EN ISO 683-4-2018 热处理钢、合金钢和易切削钢 -- 第4部分：易切削钢,碳钢,非热处理型易切削钢,,,,易切削性,,,,,,,,,
SUM22L,JIS G 4804-2008 易切削钢钢材,碳钢,,,,,,,,,,,,,,
SWRCH19A,JIS G 3507-1-2010 冷镦用碳钢 盘条,碳钢,铝镇静钢,,,,,,,,,,,,,
220M07,BS 970-1-1983 英国标准规范机械和相关工程用锻钢 第一部分 碳钢，碳锰钢，合金钢和不锈钢的一般检验试验程序和具体要求,碳钢,易切削碳钢,,,,,,,,,,,,,
C35R,EN 10083-2-2006 淬火和回火钢.第2部分:非合金钢交货技术条件,碳钢,,,,,,,,1.118,,,,,,
E4303,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
Q195,GB /T 700-2006 碳素结构钢,碳钢,镇静钢  碳素结构钢,具有高的塑性、韧性和焊接性能，良好的压力加工性能，但强度低。 用于制造地脚螺栓、犁铧、烟筒、屋面板、铆钉、低碳钢丝、薄板、焊管、拉杆、吊钩、支架、焊接结构等 本标准适用于一般交货状态使用，通常用于焊接、铆接、栓接工程结构用热轧钢板、钢带、型钢和钢棒 ①牌号后缀字母：A、B、C、D表示质量等级 ②F--沸腾钢；Z--镇静钢；TZ--特殊镇静钢 在牌号组成表示中，Z与TZ符号可以省略不写,,,焊接性,U11952,,,,,Q195Z,,,
17SMn20,EN 10277-2018 光亮产品-发货技术条件,碳钢,易切削渗碳钢,,,,易切削性,,,1.0735,,,,,,
S235JR,DIN EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,不允许沸腾钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,锻压性,,1.0038,,,,,,,
ER50-7,GB /T 8110-2008 气体保护电弧焊用碳钢、低合金钢焊丝,碳钢,,,,,,,,,,,,,,
A686 Type W1-10 Grade C,ASTM A 686-1992(R2004) 碳素工具钢,碳钢,,,T72301,,,,,,,,,,,
B-S10C,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
15SMn13,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
SWCH 18K,JIS G 3507-2-2005 冷镦碳钢 - 第2部分：线材,碳钢,镇静钢,①本标准规定了冷镦用碳钢钢丝，用于制造各种类型的螺钉(如螺栓、螺母、铆钉、机螺钉、自攻螺钉等)和用冷镦制造的各种零件。 ②用于制造本标准钢丝的盘条应符合JIS G 3507-1的规定。,,,锻压性,,,,,,,,,
Ст3Гпс,GOST 380-2005 普通碳素钢牌号,碳钢,,,,,,,,,,,,,,
S275J0H,EN 10210-1-2006 非合金和细晶结构钢的热精加工空心型材.交货技术要求,碳钢,,,,,,,,1.0149,,,,,,
1044,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10440,,,,,,,,,,,
Q275,GB /T 3524-2015 碳素结构钢和低合金结构钢热轧钢带,碳钢,,化学成分(熔炼分析)应符合 GB/T 700的规定。,,,耐腐蚀  焊接性,,,,,,,,,
C2C,DIN EN 10263-2-2017 钢棒，棒材和线材冷镦和冷挤压 钢- 第2部分：冷加工后的交货技术条件不适用于热处理钢,碳钢,非热处理钢,"②牌号或数字代号后缀字符表示材料状态或热处理名称，比如：C10C +U, C10C +U+PE等",,,,,1.0314,,,,,,,
C15R,ISO 683-11-2012 热处理钢、合金钢和易切削钢 -- 第11部分：表面硬化钢,碳钢,,,,,,,,,,,,,,
C50E,ISO 683-1-2016 淬火和回火用非合金钢,碳钢,特种钢,,,,,,,,,,,,,
SM45,YB /T 129-2017 塑料模具用钢模块,碳钢,,,,,,,,,,,,,,
C35E,EN 10269-2006 规定高温和/或低温性能的紧固件用钢和镍合金,碳钢,调质型钢,,,,,,,1.1181,7.85 g/cm3,,,,,
,SAE J 1268-2010 碳素和合金工字钢用保证淬透性钢带,碳钢,,,H10380,,,,,,,,,,1038H,
E5728-NC,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
2,ISO 5000-2019 工业级和拉伸级连续热浸镀铝硅合金薄钢板,碳钢,,,,,,,,,,,,,,
10S20,ISO 683-4-2016 热处理钢、合金钢和易切削钢 -- 第4部分：易切削钢,碳钢,渗碳易切削钢,,,,易切削性  渗碳性,,,,,,,,,
SUM43,JIS G 4804-2008 易切削钢钢材,碳钢,,,,,,,,,,,,,,
L390/X56,GB /T 14164-2013 石油天然气输送管用热轧宽钢带,碳钢,,,,,,,,,,S390,,,,
RB1170,GB 13788-2000 冷轧带肋钢筋,碳钢,,,,,,,,,,,,,,
C15E,ISO 683-3-2019 热处理钢、合金钢和易切削钢 -- 第3部分：表面硬化钢,碳钢,,,,,,,,,,,,,,
10F,GB /T 699-1999 优质碳素结构钢,碳钢,优质碳素结构钢,本标准适用于直径或厚度不大于250mm的优质碳素结构钢棒材，经供需双方协商，也可提供直径或厚度大于250mm的优质碳素结构钢棒材。,,,,U20100,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10060,1006,锻压性,,,,,,,,,
E5027-1M3,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
38B2,ISO 4954-2018 冷镦和冷挤压用钢,碳钢,,,,,,,,,,,,,,
A,GB /T 9945-2012 热轧球扁钢,碳钢,普通强度钢,,,,,,,,,,,,,
S355J2,EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,镇静钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,,1.0577,7.85 g/cm3,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,M系列碳素钢,,G10250,M1025,,,,,,,,,,
42Mn6,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
12SMn35,ISO 683-9-1988 热处理钢、合金钢和易切削钢.第9部分:锻造易切削钢,碳钢,非热处理型易切削钢  硫锰系易切削钢,,,,易切削性,,,,,,,3,,
SWRM17,JIS G 3505-2017 低碳钢盘条,碳钢,,,,,,,,,,,,,,
T10,YB /T 5058-2005 弹簧钢、工具钢冷轧钢带,碳钢,,,,,,,,,,,,,,
C72D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.0617,,,,,,
10S20,DIN EN ISO 683-4-2018 热处理钢、合金钢和易切削钢 -- 第4部分：易切削钢,碳钢,渗碳易切削钢,,,,易切削性  渗碳性,,,,,,,,,
SWRCH20A,JIS G 3507-1-2010 冷镦用碳钢 盘条,碳钢,铝镇静钢,,,,,,,,,,,,,
SUM21,JIS G 4804-2008 易切削钢钢材,碳钢,,,,,,,,,,,,,,
SL,GB /T 4357-2009 冷拉碳素弹簧钢丝,碳钢,,,,,弹性,,,,,,,,,
ML10,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
C40E,EN 10083-2-2006 淬火和回火钢.第2部分:非合金钢交货技术条件,碳钢,,,,,,,,1.1186,,,,,,
Q235A,GB /T 700-2006 碳素结构钢,碳钢,镇静钢  质量等级A  碳素结构钢,良好的塑性、韧性和焊接性能、冷冲压性能，以及一定的强度、好的冷弯性能，适合钢结构及钢筋混凝土结构钢要求 用户举例： 广泛用于制造薄板、钢筋、钢结构用各种型钢、建筑结构、桥梁、机座、机械零件、渗碳或碳氮共渗零件、焊接件、支架、受力不大的拉杆、连杆、销、轴、螺钉、螺母、套圈等。 本标准适用于一般交货状态使用，通常用于焊接、铆接、栓接工程结构用热轧钢板、钢带、型钢和钢棒 ①牌号后缀字母：A、B、C、D表示质量等级 ②F--沸腾钢；Z--镇静钢；TZ--特殊镇静钢 在牌号组成表示中，Z与TZ符号可以省略不写,,,易切削性  焊接性,U12352,,,,A3,Q235AZ,,,
S235J0,DIN EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,不允许沸腾钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,1.0114,,7.85 g/cm3,,,,,
A686 Type W1-10.5 Grade C,ASTM A 686-1992(R2004) 碳素工具钢,碳钢,,,T72301,,,,,,,,,,,
B-S20C,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
17SMn20,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
E370,EN 10296-1-2003 机械和一般工程用焊接圆钢管.技术交货条件.非合金和合金钢管,碳钢,,,,,,,,1.0261,,,,,,
SWCH 20K,JIS G 3507-2-2005 冷镦碳钢 - 第2部分：线材,碳钢,镇静钢,①本标准规定了冷镦用碳钢钢丝，用于制造各种类型的螺钉(如螺栓、螺母、铆钉、机螺钉、自攻螺钉等)和用冷镦制造的各种零件。 ②用于制造本标准钢丝的盘条应符合JIS G 3507-1的规定。,,,锻压性,,,,,,,,,
C10E,DIN EN 10084-2008 表面硬化钢—技术交货条件,碳钢,高级优质非合金钢,,,,,,1.1121,,,,,,,
E 235A,ISO 630-1995 结构钢——板料、宽扁钢、钢筋、型材,碳钢,工程用非合金钢,,,,,,,,,Fe 360A,,,,
P235GH,EN 10028-2-2009 压力容器用的钢板制品.规定了高温性能的非合金和合金钢,碳钢,,,,,,,,1.0345,,,,,,
DC01,EN 10130-2006 冷成型冷轧低碳钢平板产品 - 交货技术条件,碳钢,,①表面种类：A，B；②表面规格：b=特别光滑，g=光滑，m=无光泽，r=粗糙 板材命名示例：EN 10130+A1-DC03-B-g或EN 10130+A1-1.0347-B-g其中B为表面类型，g表示表面规格为光滑,,,,,,1.033,,,,,,
S275J2H,EN 10210-1-2006 非合金和细晶结构钢的热精加工空心型材.交货技术要求,碳钢,,,,,,,,1.0138,,,,,,
1045,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10450,,,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,可用于制造内齿锁紧垫圈等紧固件,G10500,1050,锻压性,,,,,,,,,
C4C,DIN EN 10263-2-2017 钢棒，棒材和线材冷镦和冷挤压 钢- 第2部分：冷加工后的交货技术条件不适用于热处理钢,碳钢,非热处理钢,"①是DIN 302-2011钢制实心铆钉、 DIN 7338 (C) - 2011 刹车以及离合器衬片用铆钉全空心铆钉原件中指定的非合金材料牌号之一 ②牌号或数字代号后缀字符表示材料状态或热处理名称，比如：C10C +U, C10C +U+PE等",,,锻压性,,1.0303,,,,,,,
C16E,ISO 683-11-2012 热处理钢、合金钢和易切削钢 -- 第11部分：表面硬化钢,碳钢,,,,,,,,,,,,,,
C50R,ISO 683-1-2016 淬火和回火用非合金钢,碳钢,特种钢,,,,,,,,,,,,,
SM50,YB /T 129-2017 塑料模具用钢模块,碳钢,,,,,,,,,,,,,,
38B2,EN 10263-4-2017 钢棒，冷镦和冷挤压棒材和线材 - 第4部分：交货技术条件：淬火和回火钢,碳钢,,1.本部分EN 10263适用于直径不超过100mm的非合金和合金钢的圆棒、圆棒和线材，用于冷镦、冷挤压、随后的淬火和回火或感应淬火或火焰淬火。 2.EN 10263- 1:2017 对于EN 10263的这个部分是必不可少的。,,,,,,1.5515,,,,,,
C45E,EN 10269-2006 规定高温和/或低温性能的紧固件用钢和镍合金,碳钢,,,,,,,,1.1191,7.85 g/cm3,,,,,
,SAE J 1268-2010 碳素和合金工字钢用保证淬透性钢带,碳钢,,,H10450,,,,,,,,,,1045H,
E5003-CC,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
3,ISO 5000-2019 工业级和拉伸级连续热浸镀铝硅合金薄钢板,碳钢,,,,,,,,,,,,,,
10SPb20,ISO 683-4-2016 热处理钢、合金钢和易切削钢 -- 第4部分：易切削钢,碳钢,渗碳易切削钢,,,,易切削性  渗碳性,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,硫处理碳素钢,,G11440,1144,,,,,,,,,,
L360/X52,GB /T 14164-2013 石油天然气输送管用热轧宽钢带,碳钢,,,,,,,,,,S360,,,,
,ASTM A29/A29M-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10220,1022,焊接性,,,,,,,,,C1022
C15R,ISO 683-3-2019 热处理钢、合金钢和易切削钢 -- 第3部分：表面硬化钢,碳钢,,,,,,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10110,1011,锻压性,,,,,,,,,
U3,AS 1442-2007 碳素钢和碳锰钢 - 热轧棒材和半成品,碳钢,碳锰钢,本标准规定了用于锻造和一般工程用途的在轧制或正火状态下交付的碳钢和碳锰钢棒材、棒材、坯料和板坯的要求。它规定了所有牌号的化学成分要求，以及满足机械性能要求的牌号的抗拉强度要求。该标准允许添加硼和微合金元素来实现特殊性能。,,,,,,,,,,,,
E5518-3M2,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
Ck30,DIN 17200-1987 调质钢材的供货技术条件,碳钢,高级优质非合金钢,本标准适用于： ——半成品，例如：初轧坯、扁钢坯、棒料坯。 ——热轧钢 ——热轧或锻造钢棒（圆钢、四方钢、六角钢、八角钢和扁钢） ——热轧宽钢带 ——热轧或冷轧钢板和钢带 ——自由锻锻件和模锻锻件,,,,,1.1178,,,,,,,
A694 Grade F65,ASTM A694/A694M-2016 高压用碳钢和合金钢管法兰、管件及配件锻件标准规范,碳钢,,本标准包括锻造或轧制管法兰、锻造管件、阀门和适用于高压管道的部件。,,,,,,,,,,,,
S355J2C,EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,镇静钢,该牌号适合冷翻边、冷弯成形和冷拔 ①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,,1.0579,7.85 g/cm3,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,M系列碳素钢,,G10310,M1031,,,,,,,,,,
12SMnPb35,ISO 683-9-1988 热处理钢、合金钢和易切削钢.第9部分:锻造易切削钢,碳钢,非热处理型易切削钢  加铅易切削钢,,,,易切削性,,,,,,,3Pb,,
SWRM20,JIS G 3505-2017 低碳钢盘条,碳钢,,,,,,,,,,,,,,
18MnB4,DIN EN 10263-3-2018 冷镦和冷挤压用棒、杆、线材-第3部分：交货条件表面硬化钢,碳钢,渗碳钢,1.本标准适用于直径不超过100mm的非合金和合金钢圆棒、圆杆和线材，用于冷镦、冷挤压和表面硬化钢 2.DIN EN 10263-1 对于本标准是必不可少的。,,,,,1.5521,,,,,,,
T10A,YB /T 5058-2005 弹簧钢、工具钢冷轧钢带,碳钢,,,,,,,,,,,,,,
C78D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.062,,,,,,
A620 Type B,ASTM A620/A620M-1997 冷轧碳素拉制钢板,碳钢,,,,,,,,,,,,,,
10SPb20,DIN EN ISO 683-4-2018 热处理钢、合金钢和易切削钢 -- 第4部分：易切削钢,碳钢,渗碳易切削钢,,,,易切削性  渗碳性,,,,,,,,,
10SPb20,ISO 683-9-1988 热处理钢、合金钢和易切削钢.第9部分:锻造易切削钢,碳钢,表面硬化型易切削钢  加铅易切削钢,,,,易切削性,,,,,,,4Pb,,
SWRCH22A,JIS G 3507-1-2010 冷镦用碳钢 盘条,碳钢,铝镇静钢,,,,,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,硫处理碳素钢  易切削钢,,G11080,1108,易切削性,,,,,,,,,
SM,GB /T 4357-2009 冷拉碳素弹簧钢丝,碳钢,,,,,弹性,,,,,,,,,
C40R,EN 10083-2-2006 淬火和回火钢.第2部分:非合金钢交货技术条件,碳钢,,,,,,,,1.1189,,,,,,
E4310,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
S235J2,DIN EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,不允许沸腾钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,1.0117,,7.85 g/cm3,,,,,
1215MS,国标,碳钢,,,,,易切削性,,,,,,,,,
SWRH72A,JIS G 3506-2017 高碳钢线材,碳钢,,用于制造高碳钢丝、油回火钢丝、预应力混凝土用高碳钢丝、镀锌钢丝绳、钢缆等的线材。同时，钢琴线材也包括在其中,,,,,,,,,,,,
A686 Type W1-11.5 Grade C,ASTM A 686-1992(R2004) 碳素工具钢,碳钢,,,T72301,,,,,,,,,,,
B-S25C,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
35S20,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
SWCH 22K,JIS G 3507-2-2005 冷镦碳钢 - 第2部分：线材,碳钢,镇静钢,①本标准规定了冷镦用碳钢钢丝，用于制造各种类型的螺钉(如螺栓、螺母、铆钉、机螺钉、自攻螺钉等)和用冷镦制造的各种零件。 ②用于制造本标准钢丝的盘条应符合JIS G 3507-1的规定。,,,锻压性,,,,,,,,,
C10R,DIN EN 10084-2008 表面硬化钢—技术交货条件,碳钢,,,,,,,1.1207,,,,,,,
E 275A,ISO 630-1995 结构钢——板料、宽扁钢、钢筋、型材,碳钢,工程用非合金钢,,,,,,,,,Fe 430A,,,,
P265GH,EN 10028-2-2009 压力容器用的钢板制品.规定了高温性能的非合金和合金钢,碳钢,,,,,,,,1.0425,,,,,,
1046,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10460,,,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10530,1053,,,,,,,,,,
C8C,DIN EN 10263-2-2017 钢棒，棒材和线材冷镦和冷挤压 钢- 第2部分：冷加工后的交货技术条件不适用于热处理钢,碳钢,非热处理钢,"②牌号或数字代号后缀字符表示材料状态或热处理名称，比如：C10C +U, C10C +U+PE等",,,,,1.0213,,,,,,,
J429 Grade 8.2,SAE J429-2011 外螺纹紧固件机械性质和材料要求,碳钢,低碳硼钢,可用于公称直径1/4 ~ 1 的螺栓、螺钉。,,,,,,,,,,,,
C16R,ISO 683-11-2012 热处理钢、合金钢和易切削钢 -- 第11部分：表面硬化钢,碳钢,,,,,,,,,,,,,,
SM55,YB /T 129-2017 塑料模具用钢模块,碳钢,,,,,,,,,,,,,,
35B2,EN 10269-1999 规定高温和/或低温性能的紧固件用钢和镍合金,碳钢,调质型钢  锰-硼钢,,,,,,,1.5511,7.85 g/cm3,,,,,
,SAE J 1268-2010 碳素和合金工字钢用保证淬透性钢带,碳钢,,,H15220,,,,,,,,,,1522H,
E5016-CC,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
1,ISO 5000-2011 工业级和拉伸级连续热浸镀铝硅冷还原碳钢板,碳钢,,,,,,,,,,,,,,
TS 360,ISO 9329-1-1989 具有规定室温性能的非合金钢,碳钢,,,,,,,,,,,,,,
16Mo3,EN 10028-2-2017 压力容器用钢扁平产品――第2部分： 规定高温性能的非合金和合金钢,碳钢,,,,,,,,1.5415,,,,,,
15SMn13,ISO 683-4-2016 热处理钢、合金钢和易切削钢 -- 第4部分：易切削钢,碳钢,渗碳钢,,,,易切削性  渗碳性,,,,,,,,,
44SMn28,ISO 683-9-1988 热处理钢、合金钢和易切削钢.第9部分:锻造易切削钢,碳钢,直接淬火型易切削钢  硫锰系易切削钢,,,,易切削性,,,,,,,,,
SWRCH12A,JIS G 3507-1-2005 冷打或冷镦用碳钢线材,碳钢,铝镇静钢,Cr含量不应该超过0.20%，此外，作为残留的元素Cu和Ni分别不应该超过0.30%和0.20%,,,锻压性  焊接性,,,,,,,,,
